Site,StrippingStartDate,StrippingStopDate,Gain-eggs,Shield-eggs,Organic,Gain-eggs-used,Shield-eggs-used,Gain-eggs-remaining,Shield-eggs-remaining
Vestseøra,2024-08-05,2024-09-02,7996198.0,7996198.0,True,500000.0,1000000.0,7496198.0,6996198.0
Kilavågen Land,2024-09-26,2024-11-21,16451359.0,16451359.0,False,0.0,400000.0,16451359.0,16051359.0
Bogen,2024-08-05,2024-09-09,1200000.0,200000.0,True,300000.0,250000.0,900000.0,-50000.0
Hønsvikgulen,2024-07-16,2024-08-27,1500000.0,0.0,False,600000.0,0.0,900000.0,0.0
